label;accuracy;performance_min;parametros;hiperparametros;timestamp
Res:057230;0.9934;09:06,621;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:Adam - lr:0.0007792297153882995 - e:10;24-12-20_057230
Res:333126;0.9927;09:33,319;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:Adam - lr:0.0016722697006183672 - e:10;24-12-20_333126
Res:452629;0.991;09:39,784;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:RMSprop - lr:0.0001930783753654713 - e:10;24-12-20_452629
Res:384079;0.9908;09:28,460;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:RMSprop - lr:0.00011120513715710631 - e:10;24-12-20_384079
Res:309896;0.9901;08:49,653;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:Adam - lr:0.003918194347141745 - e:10;24-12-20_309896
Res:465409;0.9899;09:39,387;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:RMSprop - lr:0.00012966511753760403 - e:10;24-12-20_465409
Res:106180;0.987;08:33,932;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:RMSprop - lr:0.00362561763457623 - e:10;24-12-20_106180
Res:298794;0.9862;09:29,481;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:Adam - lr:0.007535384509295551 - e:10;24-12-20_298794
Res:595150;0.984;09:17,306;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:RMSprop - lr:0.009647685075720105 - e:10;24-12-20_595150
Res:073536;0.908;09:26,349;f_l1:34 - f_l2:115 - drp:0.2900998503939086 - fi_lay:146;op_fn:SGD - lr:0.0008288916866885144 - e:10;24-12-20_073536
